date,min_temperature_f,min_dew_point_f,min_humidity
8/29/2013,61,56,57
8/30/2013,60,56,50
8/31/2013,57,54,57
9/1/2013,58,53,49
9/2/2013,62,58,61
9/3/2013,60,51,46
9/4/2013,61,56,53
9/5/2013,60,54,57
9/6/2013,56,45,29
9/7/2013,58,46,31
9/8/2013,56,52,53
9/9/2013,55,52,50
9/10/2013,57,54,53
9/11/2013,62,54,57
9/12/2013,59,55,61
9/13/2013,57,54,67
9/14/2013,57,53,67
9/15/2013,58,52,53
9/16/2013,59,53,57
9/17/2013,57,50,58
9/18/2013,54,47,41
9/19/2013,54,46,38
9/20/2013,56,50,53
9/21/2013,58,53,59
9/22/2013,55,49,47
9/23/2013,57,50,50
9/24/2013,58,50,53
9/25/2013,56,45,45
9/26/2013,53,38,33
9/27/2013,54,34,25
9/28/2013,53,38,35
9/29/2013,57,53,53
9/30/2013,59,43,51
10/1/2013,56,46,45
10/2/2013,54,44,45
10/3/2013,54,35,28
10/4/2013,61,28,22
10/5/2013,57,24,15
10/6/2013,56,27,13
10/7/2013,56,31,19
10/8/2013,52,44,41
10/9/2013,52,39,37
10/10/2013,53,43,45
10/11/2013,51,45,56
10/12/2013,47,42,53
10/13/2013,51,40,31
10/14/2013,51,36,27
10/15/2013,53,31,18
10/16/2013,53,32,19
10/17/2013,54,35,39
10/18/2013,51,46,48
10/19/2013,49,45,44
10/20/2013,49,45,60
10/21/2013,48,45,67
10/22/2013,47,46,64
10/23/2013,49,46,72
10/24/2013,53,45,62
10/25/2013,50,45,52
10/26/2013,49,43,44
10/27/2013,50,45,62
10/28/2013,52,44,55
10/29/2013,52,42,48
10/30/2013,48,42,48
10/31/2013,48,38,37
11/1/2013,51,41,37
11/2/2013,50,41,56
11/3/2013,47,34,34
11/4/2013,44,32,31
11/5/2013,50,29,22
11/6/2013,51,36,31
11/7/2013,56,40,42
11/8/2013,50,40,43
11/9/2013,48,40,48
11/10/2013,51,45,60
11/11/2013,54,46,60
11/12/2013,57,46,47
11/13/2013,52,47,60
11/14/2013,51,45,71
11/15/2013,50,41,48
11/16/2013,49,42,51
11/17/2013,49,42,48
11/18/2013,46,40,55
11/19/2013,54,45,66
11/20/2013,51,47,86
11/21/2013,50,32,35
11/22/2013,57,25,19
11/23/2013,50,31,28
11/24/2013,45,39,53
11/25/2013,44,38,53
11/26/2013,47,39,43
11/27/2013,48,41,52
11/28/2013,49,37,44
11/29/2013,46,38,63
11/30/2013,45,41,65
12/1/2013,46,41,46
12/2/2013,46,44,64
12/3/2013,46,25,45
12/4/2013,39,21,30
12/5/2013,35,18,26
12/6/2013,37,31,50
12/7/2013,38,24,36
12/8/2013,36,17,36
12/9/2013,36,18,28
12/10/2013,34,27,42
12/11/2013,38,27,35
12/12/2013,38,29,48
12/13/2013,40,38,63
12/14/2013,39,33,36
12/15/2013,40,34,43
12/16/2013,43,33,31
12/17/2013,46,36,43
12/18/2013,44,38,66
12/19/2013,47,23,27
12/20/2013,40,21,29
12/21/2013,47,43,62
12/22/2013,43,37,39
12/23/2013,44,37,47
12/24/2013,45,38,51
12/25/2013,42,36,43
12/26/2013,43,38,43
12/27/2013,43,37,51
12/28/2013,40,29,32
12/29/2013,42,16,14
12/30/2013,42,33,43
12/31/2013,41,35,53
1/1/2014,41,36,55
1/2/2014,43,34,36
1/3/2014,44,34,37
1/4/2014,43,33,36
1/5/2014,44,27,24
1/6/2014,44,32,51
1/7/2014,46,39,53
1/8/2014,52,46,72
1/9/2014,52,43,57
1/10/2014,48,43,60
1/11/2014,46,42,72
1/12/2014,46,36,47
1/13/2014,42,32,28
1/14/2014,44,26,19
1/15/2014,48,25,17
1/16/2014,46,27,19
1/17/2014,45,35,34
1/18/2014,43,32,36
1/19/2014,43,34,32
1/20/2014,43,34,43
1/21/2014,43,25,20
1/22/2014,44,31,51
1/23/2014,44,27,21
1/24/2014,46,32,32
1/25/2014,48,34,37
1/26/2014,48,33,46
1/27/2014,48,43,62
1/28/2014,53,47,72
1/29/2014,54,50,84
1/30/2014,52,46,67
1/31/2014,47,36,39
2/1/2014,42,36,43
2/2/2014,47,36,61
2/3/2014,46,39,55
2/4/2014,44,36,50
2/5/2014,43,38,59
2/6/2014,48,42,80
2/7/2014,51,49,83
2/8/2014,53,49,83
2/9/2014,55,52,83
2/10/2014,51,50,86
2/11/2014,49,48,83
2/12/2014,46,45,83
2/13/2014,50,50,73
2/14/2014,56,50,60
2/15/2014,52,49,72
2/16/2014,50,40,43
2/17/2014,46,42,51
2/18/2014,48,45,67
2/19/2014,51,43,51
2/20/2014,45,41,43
2/21/2014,47,40,35
2/22/2014,46,43,63
2/23/2014,46,44,69
2/24/2014,45,41,40
2/25/2014,48,45,67
2/26/2014,54,47,67
2/27/2014,55,51,67
2/28/2014,55,43,43
8/29/2013,62,57,48
8/30/2013,62,54,35
8/31/2013,59,55,50
9/1/2013,62,55,42
9/2/2013,64,57,57
9/3/2013,59,48,36
9/4/2013,60,50,41
9/5/2013,62,50,41
9/6/2013,57,45,24
9/7/2013,64,46,23
9/8/2013,59,54,44
9/9/2013,59,48,25
9/10/2013,62,55,50
9/11/2013,59,54,53
9/12/2013,60,55,57
9/13/2013,59,52,50
9/14/2013,57,54,68
9/15/2013,59,54,47
9/16/2013,59,54,47
9/17/2013,60,50,49
9/18/2013,55,41,23
9/19/2013,53,45,23
9/20/2013,59,46,53
9/21/2013,59,55,68
9/22/2013,55,48,43
9/23/2013,55,50,39
9/24/2013,59,46,43
9/25/2013,55,41,42
9/26/2013,55,32,22
9/27/2013,51,28,17
9/28/2013,53,36,20
9/29/2013,55,50,50
9/30/2013,60,41,45
10/1/2013,57,41,41
10/2/2013,55,39,37
10/3/2013,55,32,25
10/4/2013,59,32,21
10/5/2013,55,25,12
10/6/2013,53,23,11
10/7/2013,55,32,16
10/8/2013,51,39,35
10/9/2013,50,37,37
10/10/2013,50,41,49
10/11/2013,51,45,56
10/12/2013,46,45,46
10/13/2013,50,37,29
10/14/2013,50,32,19
10/15/2013,50,30,17
10/16/2013,53,32,17
10/17/2013,53,27,15
10/18/2013,50,37,46
10/19/2013,50,45,32
10/20/2013,48,45,52
10/21/2013,48,45,63
10/22/2013,48,45,59
10/23/2013,50,32,47
10/24/2013,50,46,67
10/25/2013,48,45,56
10/26/2013,48,46,41
10/27/2013,46,43,67
10/28/2013,53,41,51
10/29/2013,50,43,52
10/30/2013,44,39,43
10/31/2013,46,39,33
11/1/2013,48,39,31
11/2/2013,48,41,52
11/3/2013,46,23,22
11/4/2013,44,27,24
11/5/2013,46,32,25
11/6/2013,48,37,31
11/7/2013,53,39,42
11/8/2013,50,39,41
11/9/2013,46,41,43
11/10/2013,46,45,63
11/11/2013,51,48,63
11/12/2013,55,45,46
11/13/2013,50,46,38
11/14/2013,50,41,55
11/15/2013,46,34,32
11/16/2013,46,41,48
11/17/2013,46,41,55
11/18/2013,44,41,59
11/19/2013,50,45,72
11/20/2013,50,50,82
11/21/2013,50,28,32
11/22/2013,48,16,19
11/23/2013,44,32,34
11/24/2013,44,39,45
11/25/2013,41,39,48
11/26/2013,46,41,51
11/27/2013,46,41,52
11/28/2013,48,41,40
11/29/2013,44,39,48
11/30/2013,44,41,63
12/1/2013,44,41,37
12/2/2013,44,41,56
12/3/2013,44,28,44
12/4/2013,37,23,37
12/5/2013,32,14,24
12/6/2013,33,28,54
12/7/2013,37,23,37
12/8/2013,32,21,43
12/9/2013,32,14,25
12/10/2013,32,25,35
12/11/2013,33,25,33
12/12/2013,33,28,47
12/13/2013,35,32,62
12/14/2013,37,32,36
12/15/2013,35,32,42
12/16/2013,39,32,42
12/17/2013,44,37,51
12/18/2013,42,37,67
12/19/2013,44,19,28
12/20/2013,37,18,23
12/21/2013,39,32,55
12/22/2013,39,36,34
12/23/2013,41,37,42
12/24/2013,41,36,45
12/25/2013,39,36,40
12/26/2013,39,36,42
12/27/2013,39,36,58
12/28/2013,37,27,24
12/29/2013,41,14,15
12/30/2013,39,30,44
12/31/2013,39,36,51
1/1/2014,39,36,58
1/2/2014,41,36,42
1/3/2014,42,36,54
1/4/2014,41,27,38
1/5/2014,39,23,32
1/6/2014,41,32,48
1/7/2014,46,39,55
1/8/2014,46,45,72
1/9/2014,46,39,58
1/10/2014,44,39,63
1/11/2014,44,41,72
1/12/2014,41,36,44
1/13/2014,41,32,30
1/14/2014,41,27,20
1/15/2014,44,28,25
1/16/2014,42,30,25
1/17/2014,42,32,45
1/18/2014,41,32,48
1/19/2014,39,32,32
1/20/2014,41,34,39
1/21/2014,41,30,26
1/22/2014,41,30,45
1/23/2014,42,28,24
1/24/2014,41,36,55
1/25/2014,46,37,35
1/26/2014,48,34,28
1/27/2014,48,46,72
1/28/2014,50,46,68
1/29/2014,55,46,72
1/30/2014,51,43,55
1/31/2014,46,27,29
2/1/2014,39,32,41
2/2/2014,44,32,57
2/3/2014,41,36,51
2/4/2014,39,34,50
2/5/2014,39,36,54
2/6/2014,46,45,82
2/7/2014,50,48,72
2/8/2014,53,50,77
2/9/2014,57,55,88
2/10/2014,50,48,72
2/11/2014,46,45,72
2/12/2014,46,45,77
2/13/2014,50,48,68
2/14/2014,50,48,63
2/15/2014,48,48,72
2/16/2014,48,25,24
2/17/2014,42,39,48
2/18/2014,44,43,52
2/19/2014,48,41,45
2/20/2014,46,32,32
2/21/2014,46,36,30
2/22/2014,44,41,40
2/23/2014,46,43,52
2/24/2014,46,41,35
2/25/2014,48,45,59
2/26/2014,53,46,67
2/27/2014,55,45,49
2/28/2014,53,45,52
8/29/2013,64,60,54
8/30/2013,64,57,43
8/31/2013,62,57,54
9/1/2013,62,55,45
9/2/2013,65,60,64
9/3/2013,61,51,39
9/4/2013,60,54,45
9/5/2013,59,51,39
9/6/2013,57,51,29
9/7/2013,62,45,19
9/8/2013,62,54,39
9/9/2013,62,54,39
9/10/2013,62,54,50
9/11/2013,59,53,50
9/12/2013,61,55,61
9/13/2013,60,55,61
9/14/2013,59,53,66
9/15/2013,58,52,53
