date,max_temperature_f,max_dew_point_f,max_humidity
8/29/2013,74,61,93
8/30/2013,78,61,90
8/31/2013,71,57,93
9/1/2013,74,60,87
9/2/2013,75,61,93
9/3/2013,73,59,84
9/4/2013,74,59,90
9/5/2013,72,57,90
9/6/2013,85,57,86
9/7/2013,88,64,86
9/8/2013,74,58,86
9/9/2013,76,58,90
9/10/2013,74,59,93
9/11/2013,74,57,78
9/12/2013,71,58,84
9/13/2013,66,55,93
9/14/2013,66,55,87
9/15/2013,73,59,90
9/16/2013,71,58,90
9/17/2013,68,55,86
9/18/2013,78,55,78
9/19/2013,80,56,77
9/20/2013,73,59,87
9/21/2013,68,59,90
9/22/2013,70,55,93
9/23/2013,78,58,78
9/24/2013,71,54,78
9/25/2013,67,51,83
9/26/2013,71,46,72
9/27/2013,78,47,67
9/28/2013,78,55,84
9/29/2013,75,59,87
9/30/2013,73,60,87
10/1/2013,69,50,77
10/2/2013,69,49,77
10/3/2013,70,44,66
10/4/2013,76,51,53
10/5/2013,80,52,56
10/6/2013,83,52,66
10/7/2013,80,49,72
10/8/2013,72,50,77
10/9/2013,68,48,83
10/10/2013,70,52,77
10/11/2013,63,49,83
10/12/2013,64,50,89
10/13/2013,73,51,89
10/14/2013,77,50,71
10/15/2013,80,50,61
10/16/2013,80,54,63
10/17/2013,81,53,72
10/18/2013,68,52,83
10/19/2013,74,52,86
10/20/2013,64,52,93
10/21/2013,61,50,93
10/22/2013,64,51,100
10/23/2013,61,51,93
10/24/2013,60,48,83
10/25/2013,67,50,86
10/26/2013,70,53,89
10/27/2013,60,49,89
10/28/2013,61,48,83
10/29/2013,63,48,83
10/30/2013,65,50,83
10/31/2013,70,51,71
11/1/2013,74,53,77
11/2/2013,63,51,89
11/3/2013,63,45,77
11/4/2013,67,43,80
11/5/2013,71,45,66
11/6/2013,70,49,72
11/7/2013,71,51,80
11/8/2013,70,53,100
11/9/2013,66,53,80
11/10/2013,64,51,83
11/11/2013,62,51,83
11/12/2013,70,53,77
11/13/2013,68,55,93
11/14/2013,61,52,96
11/15/2013,65,46,83
11/16/2013,62,50,83
11/17/2013,63,49,89
11/18/2013,60,46,82
11/19/2013,61,55,93
11/20/2013,59,56,93
11/21/2013,62,49,93
11/22/2013,69,39,40
11/23/2013,65,45,71
11/24/2013,60,49,86
11/25/2013,61,46,86
11/26/2013,62,47,86
11/27/2013,62,49,86
11/28/2013,66,51,83
11/29/2013,62,51,77
11/30/2013,63,51,93
12/1/2013,67,50,86
12/2/2013,62,54,96
12/3/2013,56,54,93
12/4/2013,52,31,62
12/5/2013,51,31,64
12/6/2013,53,48,80
12/7/2013,52,48,89
12/8/2013,47,31,70
12/9/2013,52,31,70
12/10/2013,52,35,70
12/11/2013,57,36,85
12/12/2013,54,44,86
12/13/2013,53,45,89
12/14/2013,61,42,85
12/15/2013,60,44,76
12/16/2013,65,44,77
12/17/2013,59,46,77
12/18/2013,57,46,77
12/19/2013,59,43,77
12/20/2013,60,43,71
12/21/2013,60,47,86
12/22/2013,65,47,89
12/23/2013,60,45,80
12/24/2013,59,47,76
12/25/2013,63,44,76
12/26/2013,62,46,83
12/27/2013,57,45,76
12/28/2013,63,45,85
12/29/2013,68,37,71
12/30/2013,59,46,86
12/31/2013,59,45,93
1/1/2014,56,45,83
1/2/2014,62,45,80
1/3/2014,64,46,80
1/4/2014,66,46,93
1/5/2014,66,38,65
1/6/2014,60,45,71
1/7/2014,61,52,86
1/8/2014,59,51,86
1/9/2014,60,50,89
1/10/2014,60,48,89
1/11/2014,58,51,93
1/12/2014,60,47,93
1/13/2014,67,44,71
1/14/2014,72,42,71
1/15/2014,73,40,71
